price,price_per_person,price_bucket,minimum_nights,availability_365,instant_bookable,property_type,room_type,room_type_category,accommodates,bedrooms,beds,neighbourhood_cleansed,is_central,latitude,longitude,host_is_superhost,host_experience_level,host_response_rate,host_acceptance_rate,host_since,first_review,last_review,review_scores_cleanliness,review_scores_rating,rating_category,number_of_reviews,reviews_per_month,days_since_last_review,review_scores_checkin,review_scores_communication,review_scores_location,listing_age_days,has_wifi,has_kitchen,has_ac,has_breakfast,has_elevator,has_pool
970.0,485.0,Budget,2,159,0,Entire condo,Entire home/apt,Entire,2,1.0,1.0,Bang Kho laen,0,13.69947,100.52726,1.0,Expert,100.0,90.0,2013-04-06,2014-01-22,2024-09-16,4.64,4.71,Good,44,0.33,245.0,4.93,4.77,4.26,4135,0,0,0,0,0,0
1300.0,650.0,Affordable,1,355,1,Entire serviced apartment,Entire home/apt,Entire,2,1.0,1.0,Sathon,1,13.71498,100.53312,0.0,Expert,100.0,100.0,2012-11-15,2015-10-16,2024-11-09,4.83,4.63,Good,52,0.46,191.0,4.82,4.79,4.44,3503,1,1,1,0,1,0
3005.0,751.25,Standard,30,365,0,Entire rental unit,Entire home/apt,Entire,4,2.0,2.0,Vadhana,1,13.7104,100.60171,0.0,Expert,100.0,99.0,2013-04-18,2013-07-27,2020-01-04,4.76,4.76,Good,17,0.12,1962.0,4.94,5.0,4.76,4314,1,1,0,0,1,0
2199.0,1099.5,Affordable,10,77,0,Entire condo,Entire home/apt,Entire,2,1.0,1.0,Vadhana,1,13.72873,100.58039,1.0,Expert,100.0,95.0,2013-11-25,2014-01-02,2024-04-22,4.9,4.95,Excellent,20,0.15,392.0,5.0,5.0,4.85,4155,1,1,1,0,1,0
1290.0,645.0,Affordable,2,53,1,Private room in townhouse,Private room,Private,2,1.0,1.0,Sathon,1,13.720317,100.54586,1.0,Expert,100.0,99.0,2013-07-13,2022-07-11,2023-09-27,4.93,4.93,Excellent,14,0.47,600.0,4.79,5.0,4.79,1043,1,1,1,0,0,0
6829.0,758.7777777777778,Premium,2,49,1,Private room in home,Private room,Private,9,1.0,3.0,Sathon,1,13.721336514214462,100.5461244553426,1.0,Expert,100.0,99.0,2013-07-13,,,0.0,0.0,No Rating,0,0.0,-1.0,0.0,0.0,0.0,-1,1,1,0,0,0,0
2900.0,1450.0,Affordable,30,356,0,Private room in rental unit,Private room,Private,2,1.0,1.0,Bang Rak,0,13.73232,100.52336,0.0,Expert,97.0,97.0,2013-09-06,2014-01-05,2024-11-30,5.0,4.83,Excellent,12,0.09,170.0,4.83,4.75,4.5,4152,1,1,1,0,1,0
1325.0,662.5,Affordable,30,365,0,Private room in rental unit,Private room,Private,2,1.0,1.0,Vadhana,1,13.73944,100.55863,0.0,Expert,90.0,53.0,2013-08-16,2014-01-10,2016-03-15,4.43,4.83,Excellent,7,0.05,3352.0,4.71,4.57,4.71,4147,1,1,1,0,1,1
1325.0,662.5,Affordable,30,357,0,Private room in rental unit,Private room,Private,2,1.0,1.0,Vadhana,1,13.73972,100.55779,0.0,Expert,90.0,53.0,2013-08-16,2013-12-01,2016-06-23,4.17,4.45,Good,20,0.15,3252.0,4.68,4.5,4.74,4187,1,1,1,0,1,1
2000.0,1000.0,Affordable,30,339,0,Private room in rental unit,Private room,Private,2,1.0,1.0,Bang Rak,0,13.73288,100.52328,0.0,Expert,97.0,97.0,2013-09-06,2014-01-15,2023-02-24,4.56,4.07,Fair,16,0.12,815.0,4.44,4.5,3.81,4142,1,0,1,0,1,1
1000.0,333.3333333333333,Budget,250,365,1,Entire home,Entire home/apt,Entire,3,1.0,1.0,Bang Kho laen,0,13.69757,100.5288,0.0,Expert,100.0,98.0,2012-04-13,2013-12-30,2017-08-03,4.76,4.76,Good,18,0.13,2846.0,4.82,4.94,4.06,4158,1,1,1,0,0,0
2308.0,577.0,Affordable,3,172,0,Entire condo,Entire home/apt,Entire,4,2.0,2.0,Vadhana,1,13.73332,100.57099,0.0,Expert,100.0,92.0,2013-11-27,2014-01-24,2024-12-19,4.11,4.27,Fair,64,0.48,151.0,4.49,4.73,4.16,4133,1,1,1,0,1,1
1366.0,683.0,Affordable,3,352,0,Entire rental unit,Entire home/apt,Entire,2,1.0,1.0,Phaya Thai,0,13.78064,100.54393,0.0,Expert,0.0,0.0,2013-12-25,2014-03-25,2014-12-25,4.0,4.33,Good,6,0.05,3798.0,4.5,4.5,4.83,4073,1,1,1,0,1,1
4805.0,800.8333333333334,Standard,1,365,0,Private room in rental unit,Private room,Private,6,1.0,2.0,Wang Thong Lang,0,13.77933,100.61957,0.0,Expert,0.0,99.0,2014-01-07,,,0.0,0.0,No Rating,0,0.0,-1.0,0.0,0.0,0.0,-1,1,1,1,0,1,0
1039.0,259.75,Affordable,28,269,0,Entire loft,Entire home/apt,Entire,4,2.0,2.0,Chatu Chak,0,13.82824,100.56594,0.0,Expert,100.0,100.0,2014-01-12,2016-10-30,2020-01-07,4.85,4.95,Excellent,20,0.2,1959.0,4.8,4.95,4.4,3123,1,1,1,0,1,1
4360.0,872.0,Standard,25,351,0,Entire rental unit,Entire home/apt,Entire,5,2.0,4.0,Vadhana,1,13.74668,100.56137,1.0,Expert,100.0,67.0,2013-10-13,2013-11-17,2024-02-22,4.88,4.86,Excellent,292,2.16,452.0,4.9,4.87,4.73,4201,1,1,0,0,1,1
2049.0,1024.5,Affordable,60,90,0,Entire rental unit,Entire home/apt,Entire,2,1.0,1.0,Khlong Toei,1,13.72097,100.57823,0.0,Expert,100.0,99.0,2013-10-17,2013-12-04,2018-09-12,4.95,4.99,Excellent,83,0.62,2441.0,4.99,4.99,4.93,4184,1,1,1,0,1,1
1099.0,549.5,Affordable,28,358,0,Entire rental unit,Entire home/apt,Entire,2,0.0,1.0,Suanluang,0,13.723651161115674,100.6182707383192,0.0,Expert,100.0,98.0,2013-03-15,2016-07-10,2024-08-08,4.1,4.2,Fair,10,0.1,284.0,4.7,5.0,4.0,3235,1,1,1,0,1,0
1654.0,413.5,Affordable,2,351,0,Entire rental unit,Entire home/apt,Entire,4,2.0,3.0,Din Daeng,0,13.78588,100.56957,1.0,Expert,100.0,85.0,2014-01-22,2014-01-29,2024-12-07,4.63,4.7,Good,197,1.48,163.0,4.77,4.84,4.46,4128,1,1,1,0,1,0
1206.0,1206.0,Affordable,1,351,1,Entire rental unit,Entire home/apt,Entire,1,1.0,1.0,Sathon,1,13.720548,100.54697,0.0,Expert,100.0,100.0,2012-03-15,2014-02-20,2024-12-01,4.65,4.69,Good,240,1.82,169.0,4.92,4.92,4.74,4106,0,1,0,0,0,0
5066.0,1266.5,Standard,2,11,0,Entire condo,Entire home/apt,Entire,4,2.0,2.0,Sathon,1,13.72096,100.52911,1.0,Expert,95.0,84.0,2013-04-28,2013-12-08,2024-12-21,4.87,4.91,Excellent,159,1.18,149.0,4.92,4.9,4.82,4180,1,1,0,0,1,0
1690.0,845.0,Affordable,3,358,0,Entire serviced apartment,Entire home/apt,Entire,2,1.0,1.0,Khlong Toei,1,13.73908,100.55487,0.0,Expert,72.0,85.0,2014-01-29,2014-03-31,2024-08-28,4.21,4.13,Fair,24,0.18,264.0,4.63,4.33,4.5,4067,0,0,1,0,1,1
4000.0,1000.0,Standard,30,344,0,Private room in rental unit,Private room,Private,4,2.0,3.0,Bang Rak,0,13.7332,100.52094,0.0,Expert,97.0,97.0,2013-09-06,2022-08-27,2022-08-27,5.0,4.0,Fair,1,0.04,996.0,5.0,4.0,4.0,996,1,1,1,0,1,0
3005.0,1001.6666666666666,Standard,7,170,0,Entire home,Entire home/apt,Entire,3,3.0,3.0,Pra Wet,0,13.70004,100.6787,1.0,Expert,100.0,100.0,2013-10-18,2015-03-25,2023-12-03,5.0,5.0,Excellent,4,0.03,533.0,5.0,5.0,5.0,3708,1,1,1,0,0,0
1325.0,441.6666666666667,Affordable,1,353,0,Entire rental unit,Entire home/apt,Entire,3,0.0,2.0,Vadhana,1,13.74741,100.56178,0.0,Expert,90.0,53.0,2013-08-16,2013-11-30,2024-11-17,4.15,4.23,Fair,128,0.95,183.0,4.48,4.48,4.75,4188,1,1,1,0,1,1
